taxa	log2fold_1hr
Phvul.001G052500.1	-0.18
Phvul.001G052600.1	0.2
Phvul.001G052700.1	0.02
Phvul.001G052800.1	-0.08
Phvul.001G052900.1	0.06
Phvul.001G053000.1	-0.15
Phvul.001G053100.1	-0.14
Phvul.001G053200.1	NA
Phvul.001G053300.1	0
Phvul.001G053400.1	-0.07
Phvul.001G053500.1	0.28
Phvul.001G053600.1	-0.26
Phvul.001G053700.1	-0.44
Phvul.001G053800.1	NA
Phvul.001G053900.1	0.14
Phvul.001G053900.1	0.06
Phvul.001G054000.1	0
Phvul.001G054100.1	-0.14
Phvul.001G054200.1	-0.1
Phvul.001G054300.1	-0.37
Phvul.001G054400.1	-0.73
Phvul.001G054500.1	-0.25
Phvul.001G054600.1	NA
Phvul.001G054700.1	0.06
Phvul.001G054800.1	0.58
Phvul.001G054900.1	-0.56
Phvul.001G055000.1	0.04
Phvul.001G055100.1	-0.43
Phvul.001G055100.1	NA
Phvul.001G055200.1	-0.23
Phvul.001G055300.1	0.14
Phvul.001G055400.1	-0.06
Phvul.001G055500.1	-0.31
Phvul.001G055600.1	0.3
Phvul.001G055700.1	0.24
Phvul.001G055800.1	0.35
Phvul.001G055800.1	0.26
Phvul.001G055900.1	0.18
Phvul.001G056000.1	NA
Phvul.001G056100.1	0
Phvul.001G056200.1	-0.16
Phvul.001G056300.1	-1.63
Phvul.001G056400.1	-0.71
Phvul.001G056500.1	0.23
Phvul.001G056600.1	0.11
Phvul.001G056700.1	0.8
Phvul.001G056800.1	0.08
Phvul.001G056900.1	0.01
Phvul.001G057000.1	0.11
Phvul.001G057100.1	-0.58
Phvul.001G057200.1	-0.28
Phvul.001G057300.1	0.37
Phvul.001G057400.1	0.1
Phvul.001G057500.1	-0.09
Phvul.001G057500.1	0.02
Phvul.001G057600.1	1.35
Phvul.001G057700.1	0.97
Phvul.001G057800.1	-0.19
Phvul.001G057900.1	0.49
Phvul.001G058000.1	-0.2
Phvul.001G058100.1	-0.11
Phvul.001G058200.1	-0.04
Phvul.001G058300.1	NA
Phvul.001G058400.1	0.01
Phvul.001G058500.1	-0.38
Phvul.001G058600.1	0.34
Phvul.001G058700.1	0.55
Phvul.001G058800.1	0.53
Phvul.001G058900.1	-0.06
Phvul.001G059000.1	0.06
Phvul.001G059100.1	-0.16
Phvul.001G059200.1	-0.15
Phvul.001G059300.1	0.49
Phvul.001G059400.1	0
Phvul.001G059500.1	-0.29
Phvul.001G059600.1	-0.14
Phvul.001G059700.1	-0.56
Phvul.001G059800.1	-0.01
Phvul.001G059900.1	0
Phvul.001G060000.1	0.22
Phvul.001G060100.1	-0.13
Phvul.001G060200.1	0.96
Phvul.001G060300.1	0.03
Phvul.001G060400.1	0.67
Phvul.001G060500.1	0.08
Phvul.001G060600.1	0.34
Phvul.001G060700.1	0.3
Phvul.001G060800.1	0.02
Phvul.001G060900.1	0.49
Phvul.001G060900.1	0.1
Phvul.001G061000.1	-1.08
Phvul.001G061100.1	0.3
Phvul.001G061200.1	-0.61
Phvul.001G061300.1	-0.02
Phvul.001G061400.1	-0.26
Phvul.001G061500.1	-0.16
Phvul.001G061600.1	-0.08
Phvul.001G061700.1	-0.28
Phvul.001G061800.1	NA
Phvul.001G061900.1	-0.24
Phvul.001G062000.1	0.25
Phvul.001G062100.1	0.32
Phvul.001G062200.1	NA
Phvul.001G062300.1	NA
Phvul.001G062400.1	NA
Phvul.001G062500.1	NA
Phvul.001G062600.1	0
Phvul.001G062700.1	0.09
Phvul.001G062800.1	0.24
Phvul.001G062900.1	0.13
Phvul.001G063000.1	0.16
Phvul.001G063100.1	0.87
Phvul.001G063200.1	0.65
Phvul.001G063300.1	-0.17
Phvul.001G063400.1	0.04
Phvul.001G063500.1	0.15
Phvul.001G063500.1	-0.06
Phvul.001G063600.1	0.09
Phvul.001G063700.1	0.65
Phvul.001G063800.1	-0.24
Phvul.001G063900.1	-0.48
Phvul.001G063900.1	-0.07
Phvul.001G064000.1	NA
Phvul.001G064100.1	-0.74
Phvul.001G064200.1	-0.07
Phvul.001G064300.1	-1.2
Phvul.001G064400.1	0.05
Phvul.001G064500.1	1.84
Phvul.001G064600.1	NA
Phvul.001G064700.1	1.8
Phvul.001G064800.1	0.08
Phvul.001G064900.1	0.34
Phvul.001G065000.1	NA
Phvul.001G065100.1	0.2
Phvul.001G065200.1	NA
Phvul.001G065300.1	0.37
Phvul.001G065400.1	-0.04
Phvul.001G065500.1	0.65
Phvul.001G065600.1	0.25
Phvul.001G065600.1	0
Phvul.001G065700.1	0.04
Phvul.001G065800.1	NA
Phvul.001G065900.1	NA
Phvul.001G066000.1	0
Phvul.001G066100.1	0.02
Phvul.001G066200.1	-0.49
Phvul.001G066300.1	-0.48
Phvul.001G066400.1	2.14
