taxa	log2fold_1hr
Vigun03g227900	0
Vigun03g231300	0
Vigun03g231400	0
Vigun03g231500	0
Vigun03g232300	0
Vigun03g232800	0
Vigun03g232900	0
Vigun03g233800	0
Vigun03g234800	0
Vigun03g235000	0
Vigun03g235200	0
Vigun03g235500	0
Vigun03g237300	0
Vigun03g238400	0
Vigun03g238600	0
Vigun03g240000	0
Vigun03g240600	0
Vigun03g241800	0
Vigun03g241900	0
Vigun03g242000	0
Vigun03g242100	0
Vigun03g242200	0
Vigun03g242500	0
Vigun03g243200	0
Vigun03g244300	0
Vigun03g246300	0
Vigun03g246800	0
Vigun03g248000	0
Vigun03g248300	0
Vigun03g248600	0
Vigun03g248700	0
Vigun03g249300	0
Vigun03g251600	0
Vigun03g252600	0
Vigun03g252700	0
Vigun03g252900	0
Vigun03g253600	0
Vigun03g253700	0
Vigun03g254400	0
Vigun03g254700	0
Vigun03g256000	0
Vigun03g256100	0
Vigun03g256200	0
Vigun03g258300	0
Vigun03g261800	0
Vigun03g262600	0
Vigun03g262700	0
Vigun03g265300	0
Vigun03g267500	0
Vigun03g268500	0
Vigun03g268800	0
Vigun03g270800	0
Vigun03g271200	0
Vigun03g271500	0
Vigun03g272000	0
Vigun03g272300	0
Vigun03g272400	0
Vigun03g274700	0
Vigun03g275400	0
Vigun03g275500	0
Vigun03g275700	0
Vigun03g275800	0
Vigun03g275900	0
Vigun03g276700	0
Vigun03g277300	0
Vigun03g277700	0
Vigun03g278500	0
Vigun03g278600	0
Vigun03g278700	0
Vigun03g279000	0
Vigun03g282100	0
Vigun03g283600	0
Vigun03g285500	0
Vigun03g285900	0
Vigun03g286800	0
Vigun03g288400	0
Vigun03g288500	0
Vigun03g288600	0
Vigun03g289800	0
Vigun03g290200	0
Vigun03g292000	0
Vigun03g292200	0
Vigun03g292500	0
Vigun03g294300	0
Vigun03g294400	0
Vigun03g296600	0
Vigun03g297400	0
Vigun03g298300	0
Vigun03g299900	0
Vigun03g304700	0
Vigun03g304800	0
Vigun03g304900	0
Vigun03g305000	0
Vigun03g305100	0
Vigun03g307100	0
Vigun03g307300	0
Vigun03g309700	0
Vigun03g309800	0
Vigun03g311800	0
Vigun03g311900	0
Vigun03g313200	0
Vigun03g314200	0
Vigun03g314400	0
Vigun03g315400	0
Vigun03g317300	0
Vigun03g317400	0
Vigun03g318800	0
Vigun03g319000	0
Vigun03g320300	0
Vigun03g320700	0
Vigun03g321400	0
Vigun03g324700	0
Vigun03g325500	0
Vigun03g325800	0
Vigun03g326200	0
Vigun03g328600	0
Vigun03g329300	0
Vigun03g329500	0
Vigun03g329600	0
Vigun03g329900	0
Vigun03g330200	0
Vigun03g330300	0
Vigun03g330400	0
Vigun03g330500	0
Vigun03g330600	0
Vigun03g330700	0
Vigun03g332300	0
Vigun03g334500	0
Vigun03g334600	0
Vigun03g335900	0
Vigun03g336000	0
Vigun03g336200	0
Vigun03g338900	0
Vigun03g339200	0
Vigun03g345000	0
Vigun03g345100	0
Vigun03g345600	0
Vigun03g346500	0
Vigun03g347200	0
Vigun03g347300	0
Vigun03g347900	0
Vigun03g348400	0
Vigun03g352300	0
Vigun03g353000	0
Vigun03g353100	0
