taxa	In11_one_hr	six_hr
Vigun08g110200	1.89	-0.86
Vigun11g007400	1.88	-2.50
Vigun01g049500	1.88	-1.04
Vigun03g059400	1.88	-0.15
Vigun10g048600	1.87	1.88
Vigun11g059300	1.87	-0.19
Vigun05g131600	1.87	-1.17
Vigun04g087500	1.87	-0.56
Vigun01g040300	1.87	-1.28
Vigun10g167700	1.86	-0.04
Vigun09g215600	1.86	0.16
Vigun02g000200	1.86	-1.55
Vigun02g027700	1.86	0.70
Vigun07g196200	1.85	1.40
Vigun05g146200	1.85	3.32
Vigun03g379000	1.84	0.11
Vigun02g001600	1.84	-0.17
Vigun03g210900	1.84	-0.78
