taxa	nodule	root	21d_leaf
MtrunA17_Chr0c02g0489701	4.28	-6.64	-6.64
MtrunA17_Chr0c02g0489711	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489721	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489731	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489741	-2.32	3.22	-6.64
MtrunA17_Chr0c02g0489751	5.83	9.16	8.93
MtrunA17_Chr0c02g0489752	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489761	0.00	1.20	-6.64
MtrunA17_Chr0c02g0489771	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489781	-6.64	0.38	-6.64
MtrunA17_Chr0c02g0489791	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489801	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489811	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489821	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g0489831	-6.64	-6.64	-6.64
MtrunA17_Chr0c02g1039307	0.68	-6.64	-6.64
MtrunA17_Chr0c02g1039323	1.07	3.12	5.97
MtrunA17_Chr0c03g0489841	9.88	-6.64	-6.64
MtrunA17_Chr0c03g0489851	0.38	6.34	4.43
MtrunA17_Chr0c03g0489861	7.53	-6.64	-6.64
MtrunA17_Chr0c03g0489871	9.60	8.02	5.08
MtrunA17_Chr0c03g0489881	8.86	5.29	1.20
MtrunA17_Chr0c03g0489891	2.26	-6.64	-6.64
MtrunA17_Chr0c03g0489901	8.13	5.95	3.64
MtrunA17_Chr0c03g0489911	11.38	3.51	3.96
MtrunA17_Chr0c03g0489921	7.13	-6.64	1.26
MtrunA17_Chr0c03g0489931	12.20	2.63	5.05
MtrunA17_Chr0c03g0489941	-6.64	-6.64	-6.64
MtrunA17_Chr0c03g0489951	10.84	10.02	7.00
MtrunA17_Chr0c03g0489961	10.87	1.77	2.23
MtrunA17_Chr0c03g0489971	8.44	2.20	-0.51
MtrunA17_Chr0c03g0489981	6.76	-6.64	-6.64
MtrunA17_Chr0c03g0489991	9.44	1.89	-1.74
MtrunA17_Chr0c03g0490001	3.94	-6.64	-6.64
MtrunA17_Chr0c03g0490002	-3.32	-6.64	-6.64
MtrunA17_Chr0c03g0490011	6.41	8.72	8.49
MtrunA17_Chr0c03g0490021	-6.64	-6.64	-6.64
MtrunA17_Chr0c03g0490031	4.87	11.25	9.05
MtrunA17_Chr0c03g0490032	-6.64	-6.64	-6.64
MtrunA17_Chr0c03g0490041	-6.64	-6.64	-6.64
MtrunA17_Chr0c03g0490051	-3.32	-6.64	-6.64
MtrunA17_Chr0c03g0490061	-2.32	-1.32	-6.64
MtrunA17_Chr0c03g0490071	-6.64	-6.64	-6.64
MtrunA17_Chr0c03g0490081	-6.64	-6.64	-6.64
MtrunA17_Chr0c03g0490091	0.49	-1.74	-6.64
MtrunA17_Chr0c03g0490101	9.43	-6.64	-6.64
MtrunA17_Chr0c04g0491971	-6.64	-6.64	-6.64
MtrunA17_Chr0c04g0491981	-6.64	-6.64	-6.64
MtrunA17_Chr0c04g0491991	-6.64	-6.64	-6.64
MtrunA17_Chr0c04g0492001	-1.74	7.65	-6.64
MtrunA17_Chr0c04g0492011	4.51	-6.64	-6.64
MtrunA17_Chr0c04g0492021	6.15	9.58	9.53
MtrunA17_Chr0c04g0492031	-0.51	5.87	0.58
MtrunA17_Chr0c04g0492041	0.00	1.77	-6.64
MtrunA17_Chr0c04g0492051	-6.64	-6.64	-6.64
MtrunA17_Chr0c04g0492061	-2.32	-6.64	-6.64
MtrunA17_Chr0c04g0492071	-6.64	-6.64	-6.64
MtrunA17_Chr0c04g0492081	-6.64	5.06	-6.64
MtrunA17_Chr0c04g0492091	0.00	6.32	-6.64
MtrunA17_Chr0c04g0492101	-6.64	-6.64	-6.64
MtrunA17_Chr0c05g0492111	-0.51	-6.64	-6.64
MtrunA17_Chr0c05g0492121	0.49	13.48	3.88
MtrunA17_Chr0c05g0492131	2.51	7.08	-1.74
MtrunA17_Chr0c05g0492141	-6.64	-6.64	-6.64
MtrunA17_Chr0c05g0492151	-6.64	-6.64	-6.64
MtrunA17_Chr0c05g0492161	-6.64	-6.64	-6.64
MtrunA17_Chr0c06g0493471	4.02	6.82	6.04
MtrunA17_Chr0c06g0493481	6.36	8.55	9.60
MtrunA17_Chr0c09g0493491	4.69	6.68	6.32
MtrunA17_Chr0c09g0493501	1.81	4.27	-1.74
MtrunA17_Chr0c09g0493511	-3.32	-6.64	-6.64
MtrunA17_Chr0c09g0493521	-6.64	-6.64	-6.64
MtrunA17_Chr0c09g0493531	-6.64	-6.64	-6.64
MtrunA17_Chr0c09g0493541	-3.32	-6.64	-6.64
MtrunA17_Chr0c09g0493551	-3.32	-6.64	-6.64
MtrunA17_Chr0c09g0493561	-6.64	-6.64	-6.64
MtrunA17_Chr0c09g0493571	-6.64	-6.64	-6.64
MtrunA17_Chr0c09g0493581	-6.64	-6.64	-6.64
MtrunA17_Chr0c10g0493591	-1.32	-0.32	-6.64
MtrunA17_Chr0c10g0493601	0.38	-6.64	-6.64
MtrunA17_Chr0c10g0493611	7.00	7.70	7.80
MtrunA17_Chr0c11g0493621	-6.64	-6.64	-6.64
MtrunA17_Chr0c12g0493631	5.52	9.40	10.83
MtrunA17_Chr0c12g0493641	0.38	3.84	11.47
MtrunA17_Chr0c12g0493651	10.35	12.01	12.03
MtrunA17_Chr0c12g0493661	5.29	10.45	10.85
MtrunA17_Chr0c12g0493671	-3.32	-6.64	0.49
MtrunA17_Chr0c12g0493681	-0.15	0.85	-0.74
MtrunA17_Chr0c14g0493691	-6.64	-6.64	-6.64
MtrunA17_Chr0c14g0493701	-1.74	-6.64	-6.64
MtrunA17_Chr0c14g0493702	-6.64	-6.64	-6.64
MtrunA17_Chr0c15g0493711	4.57	-1.74	2.56
MtrunA17_Chr0c17g0493721	7.90	6.19	2.35
MtrunA17_Chr0c18g0493731	-6.64	-6.64	-6.64
MtrunA17_Chr0c18g0493741	-6.64	-6.64	-6.64
MtrunA17_Chr0c18g0493751	-6.64	-6.64	-6.64
MtrunA17_Chr0c19g0493761	2.46	-6.64	-6.64
MtrunA17_Chr0c19g0493771	5.66	12.15	13.28
MtrunA17_Chr0c19g0493781	6.86	-6.64	2.83
MtrunA17_Chr0c19g0493791	1.77	-6.64	-6.64
MtrunA17_Chr0c19g0493801	-1.74	-1.74	-6.64
MtrunA17_Chr0c20g0493811	-0.32	2.43	2.07
MtrunA17_Chr0c20g0493821	-1.00	1.32	3.58
MtrunA17_Chr0c20g0493831	4.34	7.49	9.66
MtrunA17_Chr0c20g0493841	6.49	11.39	12.79
MtrunA17_Chr0c22g0493851	0.85	2.23	-6.64
MtrunA17_Chr0c22g0493861	0.58	4.11	0.38
MtrunA17_Chr0c22g0493871	-1.32	3.15	2.68
MtrunA17_Chr0c22g0493881	1.81	7.25	4.49
MtrunA17_Chr0c27g0493891	3.19	6.92	6.59
MtrunA17_Chr0c27g0493901	3.66	5.68	6.11
MtrunA17_Chr0c27g0493911	0.00	2.81	0.38
MtrunA17_Chr0c27g0493921	9.88	13.22	14.74
MtrunA17_Chr0c28g0493931	3.41	0.14	-1.32
MtrunA17_Chr0c28g0493941	4.09	7.82	5.39
MtrunA17_Chr0c28g0493951	5.38	8.95	9.56
MtrunA17_Chr0c28g0493961	1.89	5.96	3.39
MtrunA17_Chr0c28g0493971	-0.32	3.46	2.51
MtrunA17_Chr0c29g0493981	0.49	3.60	4.73
MtrunA17_Chr0c29g0493991	2.96	6.08	7.29
MtrunA17_Chr0c29g0494001	-3.32	-6.64	9.29
MtrunA17_Chr0c29g0494011	-6.64	-6.64	-6.64
MtrunA17_Chr0c29g0494021	8.70	5.52	1.49
MtrunA17_Chr0c29g0494031	1.00	-0.15	1.00
MtrunA17_Chr0c29g0494041	-2.32	-6.64	-6.64
MtrunA17_Chr0c29g0494051	0.26	-1.74	-6.64
MtrunA17_Chr0c30g0494061	-6.64	-6.64	0.77
MtrunA17_Chr0c30g0494071	-6.64	-6.64	-6.64
MtrunA17_Chr0c30g0494081	-1.32	-6.64	-6.64
MtrunA17_Chr0c30g0494091	-3.32	2.74	4.15
MtrunA17_Chr0c30g0494092	-6.64	-6.64	-6.64
MtrunA17_Chr0c30g0494101	-6.64	-6.64	-6.64
MtrunA17_Chr0c30g0494111	-6.64	0.00	-6.64
MtrunA17_Chr0c31g0494121	1.00	-6.64	-6.64
MtrunA17_Chr0c31g0494131	2.83	4.83	3.17
MtrunA17_Chr0c31g0494141	-3.32	-6.64	-6.64
MtrunA17_Chr0c31g0494151	-6.64	-6.64	-6.64
MtrunA17_Chr0c31g0494161	-1.00	-6.64	-6.64
MtrunA17_Chr0c32g0494171	5.89	8.17	7.79
