taxa	NGP_WH_1h_l2FC	NGP_InH_1h_l2FC	NGP_flg22H_1h_l2FC	NGP_WH_6h_l2FC	NGP_InH_6h_l2FC	NGP_flg22H_6h_l2FC
Vigun02g041400	0.84	0.74	-0.24	0.09	-0.33	0.05
Vigun03g399700	-0.18	-0.46	-0.24	-0.42	-0.78	-0.30
Vigun09g223800	0.71	0.78	-0.24	-0.79	-1.32	-0.09
Vigun07g184200	0.83	0.59	-0.24	-0.77	-0.83	0.24
Vigun02g075000	-0.45	-0.52	-0.24	-2.12	-2.75	-0.36
Vigun07g054100	-0.40	-0.59	-0.24	-1.03	-1.45	-0.33
Vigun05g072200	-1.69	-2.35	-0.24	-1.60	-2.53	-0.62
Vigun04g041800	0.11	0.18	-0.24	0.27	0.36	-0.04
Vigun09g229700	0.43	0.37	-0.24	-0.55	-0.50	0.12
Vigun05g110200	-1.01	-1.27	-0.24	-1.86	-2.82	-0.61
Vigun11g001800	-0.40	-0.70	-0.24	-0.68	-1.05	-0.28
Vigun07g135600	-0.46	-0.75	-0.24	0.88	0.64	-0.21
Vigun04g012900	0.15	0.16	-0.24	1.21	1.17	-0.06
Vigun02g061500	-1.30	-1.32	-0.24	0.03	0.10	-0.77
Vigun09g094900	-0.07	0.04	-0.24	-0.04	-0.38	-0.07
Vigun10g174100	0.62	0.37	-0.24	-0.96	-1.09	-0.39
Vigun02g173000	0.47	0.04	-0.24	0.22	-0.09	-0.27
Vigun11g136000	0.30	0.24	-0.24	-0.40	-0.85	-0.26
Vigun07g129300	-0.52	-0.83	-0.24	-1.31	-1.83	-0.37
Vigun07g211700	0.66	0.94	-0.24	0.71	0.88	-0.16
Vigun03g094900	1.39	1.60	-0.24	1.56	1.66	-0.05
Vigun06g069300	0.29	0.04	-0.24	0.47	0.15	-0.25
Vigun04g137100	-1.06	-1.79	-0.24	-1.09	-1.68	0.81
Vigun05g028300	2.62	2.68	-0.24	1.34	1.29	-0.06
Vigun05g006400	0.26	0.02	-0.24	0.14	-0.28	-0.36
Vigun03g299000	2.09	2.09	-0.24	0.82	1.29	0.15
Vigun03g009200	-0.14	-0.63	-0.24	0.58	0.13	0.07
Vigun06g145000	-1.80	-2.25	-0.24	0.65	-1.03	-1.92
Vigun11g085050	-0.27	-0.54	-0.24	-0.39	-0.70	-0.09
Vigun04g108400	0.38	1.01	-0.24	0.24	-0.83	-0.98
Vigun01g139600	2.44	2.36	-0.24	-1.56	-2.04	0.20
Vigun01g101700	0.52	0.30	-0.24	1.96	1.58	-0.25
Vigun07g179300	3.42	6.15	-0.24	1.82	2.15	-0.17
Vigun09g135500	-0.30	-0.60	-0.24	-0.33	-0.32	0.02
Vigun03g197800	0.35	0.25	-0.24	-0.05	-0.40	-0.38
Vigun03g154600	-0.01	-0.30	-0.24	-0.02	-0.48	-0.36
Vigun03g006500	0.12	-0.06	-0.24	0.18	0.09	0.02
Vigun08g051300	1.33	0.94	-0.24	-0.52	-0.76	-0.93
Vigun02g074600	0.22	-0.01	-0.24	1.09	1.22	-0.02
Vigun06g105100	0.25	-0.10	-0.24	0.80	0.28	-0.27
Vigun11g051700	-0.72	0.25	-0.24	-0.46	-1.21	-2.64
Vigun08g051700	5.74	5.32	-0.24	0.67	-0.41	-0.09
Vigun01g109800	-0.45	-0.76	-0.24	-0.79	-1.07	-0.17
Vigun03g312500	-1.55	-0.78	-0.24	-0.85	-1.59	-0.40
Vigun03g048000	-0.77	-1.31	-0.24	-1.25	-1.85	-0.71
Vigun08g086400	-0.11	-0.22	-0.24	-0.81	-1.76	-0.69
Vigun08g164800	0.49	0.31	-0.24	-0.14	-0.46	-0.51
Vigun03g126450	0.02	0.01	-0.24	-1.48	-2.87	-0.98
Vigun09g157400	-0.46	-0.80	-0.24	-1.41	-1.80	-0.26
Vigun06g053050	0.02	-0.06	-0.24	-0.41	-0.55	-0.15
Vigun06g071000	2.94	3.44	-0.24	4.41	5.05	0.65
Vigun01g245900	-0.06	-0.28	-0.24	0.03	-0.42	-0.34
Vigun03g148500	0.55	0.44	-0.24	0.53	0.05	-0.38
Vigun09g009300	0.28	0.10	-0.24	-0.12	-0.42	-0.20
Vigun06g081600	0.08	0.06	-0.24	-0.98	-1.60	-0.37
Vigun03g027400	0.47	0.61	-0.24	0.64	1.14	0.55
Vigun09g101700	-0.48	-0.70	-0.24	-0.39	0.07	0.32
Vigun11g208200	-0.61	-0.89	-0.24	-1.76	-1.76	-0.32
Vigun03g369700	0.05	-0.08	-0.24	0.98	1.02	0.02
Vigun05g148400	-0.18	-0.50	-0.24	-0.44	-1.00	-0.56
Vigun06g155900	0.11	0.26	-0.24	-0.70	-1.05	-0.09
Vigun01g224300	-0.85	-0.97	-0.24	-0.33	-0.24	-0.09
Vigun03g160500	1.47	1.93	-0.24	-0.37	-0.23	-0.89
Vigun07g255000	6.61	6.64	-0.24	2.98	2.98	0.70
Vigun11g107200	-0.29	-0.52	-0.24	0.26	0.00	-0.28
Vigun03g023400	0.03	0.02	-0.24	0.71	0.56	-0.07
Vigun03g344000	-0.02	-0.09	-0.24	-0.55	-1.05	-0.28
Vigun06g121300	-1.64	-1.84	-0.24	-1.01	-1.36	-0.75
Vigun11g170900	0.35	0.15	-0.24	2.06	1.61	-0.38
Vigun06g029900	0.04	-0.33	-0.24	1.18	0.79	-0.34
Vigun06g082800	7.39	7.83	-0.24	3.58	4.35	0.84
Vigun01g251000	-1.11	-1.38	-0.24	-0.22	-0.22	0.69
Vigun09g234400	6.23	6.71	-0.24	7.97	7.60	0.42
Vigun07g083100	0.60	0.54	-0.24	2.06	1.62	-0.43
Vigun04g035100	0.10	-0.25	-0.24	0.71	0.10	-0.46
Vigun11g120200	-0.32	-0.40	-0.24	0.24	-0.11	-0.28
Vigun08g034100	1.37	1.35	-0.24	1.33	1.16	-0.17
Vigun06g118700	3.60	3.58	-0.24	-0.37	-0.40	-0.17
Vigun02g132600	-1.26	-1.59	-0.24	-2.17	-3.35	-0.72
Vigun09g125500	-1.03	-1.39	-0.24	-2.29	-3.12	-0.48
Vigun03g180900	-0.68	-0.99	-0.24	-0.61	-0.82	-0.16
Vigun01g029500	-0.15	-0.39	-0.24	-0.24	-0.80	-0.61
Vigun03g385400	2.19	1.98	-0.24	0.54	-0.33	0.52
Vigun03g433200	-2.63	-2.98	-0.24	-1.19	-1.39	-0.40
Vigun09g226400	-0.51	-0.65	-0.24	-0.22	-0.36	-0.25
Vigun10g018700	-0.03	-0.26	-0.24	-0.19	-0.55	-0.36
Vigun04g190177	-0.02	-0.35	-0.24	-0.80	-1.26	-0.12
Vigun11g137200	-0.60	-1.07	-0.24	-0.59	-0.57	-0.16
Vigun03g260100	-0.16	-0.43	-0.24	0.11	-0.29	-0.31
Vigun06g198800	4.62	4.60	-0.24	2.53	2.80	0.06
Vigun03g408900	1.46	1.84	-0.24	0.13	-0.85	0.05
Vigun11g003800	1.78	1.65	-0.24	-0.78	-0.76	0.02
Vigun08g080300	-0.87	-1.55	-0.24	-1.84	-1.98	-0.30
Vigun02g100400	-1.73	-2.17	-0.24	-1.42	-2.87	-0.29
Vigun05g254400	1.46	1.69	-0.24	0.59	0.91	0.78
Vigun03g159400	-0.84	-1.19	-0.24	-2.71	-4.29	-0.92
Vigun01g073100	0.02	-0.15	-0.24	-0.05	-0.08	0.05
Vigun07g228700	-0.04	-0.15	-0.24	-0.68	-0.80	-0.29
Vigun11g005900	-0.74	-0.70	-0.24	-1.93	-1.48	0.70
Vigun03g172700	4.36	4.18	-0.24	1.68	1.52	0.30
Vigun03g392100	-1.80	-2.00	-0.24	0.38	0.30	-0.39
Vigun05g226400	-0.14	-0.26	-0.24	0.34	-0.08	-0.32
Vigun07g294800	-0.80	-1.28	-0.24	-1.14	-1.69	-0.52
Vigun06g099500	-0.40	-0.72	-0.24	-1.05	-1.35	-0.32
Vigun10g066900	-2.01	-2.92	-0.24	-3.02	-4.05	-0.80
Vigun09g201000	0.01	-0.20	-0.24	0.38	0.40	-0.11
Vigun03g392600	-0.37	-0.46	-0.24	-1.25	-1.67	-0.33
Vigun09g163900	-1.46	-1.88	-0.24	-1.83	-1.98	-0.17
Vigun04g113900	-0.66	-1.18	-0.24	0.66	0.57	-0.26
Vigun02g162500	0.48	0.30	-0.24	0.87	0.97	0.04
Vigun02g077900	0.33	0.19	-0.24	0.09	-0.16	-0.26
Vigun10g119200	-0.81	-1.15	-0.24	-1.38	-1.84	-0.33
Vigun01g069500	-0.28	-0.56	-0.24	-0.62	-1.15	-0.47
Vigun06g236500	0.42	0.34	-0.24	0.87	0.54	-0.44
Vigun06g213600	0.77	0.73	-0.24	-1.21	-1.41	-0.10
Vigun03g337600	0.57	0.66	-0.24	0.73	0.64	-0.04
Vigun09g141700	0.21	0.19	-0.24	-0.74	-0.90	-0.02
Vigun03g027900	2.68	2.70	-0.24	-1.23	-1.19	0.10
Vigun08g106000	4.62	4.46	-0.24	2.01	2.68	0.74
Vigun01g210900	4.19	4.06	-0.24	1.05	0.74	0.14
Vigun10g183500	-0.29	-0.63	-0.24	0.53	0.26	-0.26
Vigun08g124000	2.75	2.58	-0.24	-1.60	-2.20	-0.23
Vigun01g214600	-0.02	-0.22	-0.24	-0.46	-0.51	0.05
Vigun10g172900	0.17	0.04	-0.24	0.51	0.48	-0.01
Vigun11g186100	-1.13	-1.60	-0.24	0.60	-0.50	-0.88
Vigun01g159100	-1.98	-2.17	-0.24	-1.05	-1.24	-0.31
Vigun05g099000	-0.54	-0.69	-0.24	-0.28	-0.10	0.10
Vigun10g020900	0.89	0.88	-0.24	-0.51	-0.68	-0.37
Vigun06g012300	-1.01	-1.39	-0.24	-0.82	-1.82	-0.66
Vigun06g172600	-1.93	-2.61	-0.24	-0.46	-0.79	-0.07
Vigun01g056150	0.21	-0.47	-0.24	-0.21	0.24	0.39
Vigun01g069900	2.82	3.16	-0.24	1.01	1.48	0.10
Vigun05g204200	-0.07	0.11	-0.24	0.04	-0.33	0.21
Vigun09g248900	0.97	0.91	-0.24	-0.14	0.15	0.08
Vigun09g166900	-0.98	-1.47	-0.24	-1.02	-0.48	-0.45
Vigun04g160200	-0.02	-0.30	-0.24	-0.49	-0.70	-0.33
Vigun01g074500	1.39	1.00	-0.24	1.92	1.69	-0.43
Vigun08g110900	-1.50	-2.05	-0.24	-1.39	-1.80	-0.25
Vigun06g219000	-0.36	-0.66	-0.24	-1.23	-1.82	-0.31
Vigun03g081100	0.45	0.48	-0.24	-0.28	-0.02	0.05
Vigun06g180200	1.56	1.50	-0.24	-0.51	-1.40	-0.78
Vigun04g006300	1.63	1.34	-0.24	0.74	0.62	0.26
Vigun03g261700	-0.96	-1.01	-0.24	0.05	0.34	0.06
Vigun10g145300	-1.00	-1.23	-0.24	-1.30	-1.60	-0.04
Vigun04g147600	3.57	3.40	-0.24	1.26	0.15	-0.18
Vigun01g182100	5.27	5.42	-0.24	2.15	1.26	-0.08
Vigun03g113700	5.38	5.07	-0.24	1.23	1.83	0.82
Vigun04g075200	-0.23	-0.25	-0.24	-2.15	-4.12	-0.83
Vigun04g128600	-0.25	-0.41	-0.24	-0.87	-0.94	-0.21
Vigun06g225400	0.06	0.15	-0.24	-0.49	-0.37	0.07
Vigun07g044300	-0.18	-0.27	-0.24	0.05	-0.25	-0.21
Vigun07g033100	-0.10	-0.40	-0.24	0.38	-0.02	-0.39
Vigun03g232500	-0.27	-0.47	-0.24	-1.13	-1.59	-0.16
Vigun07g281300	-0.65	-0.97	-0.24	-1.52	-2.25	-0.63
Vigun07g137500	3.61	3.71	-0.24	0.77	1.02	0.17
Vigun07g089400	0.04	-0.21	-0.24	0.80	0.67	-0.14
Vigun09g039600	1.56	1.25	-0.25	0.09	0.82	0.52
Vigun06g203900	0.14	-0.10	-0.25	-0.35	-0.66	-0.22
Vigun04g003900	1.07	1.07	-0.25	-0.01	-0.08	0.02
Vigun05g282500	-0.30	-0.58	-0.25	-1.10	-1.25	0.06
Vigun07g257200	-0.11	-0.25	-0.25	0.76	0.58	-0.17
Vigun09g032300	-0.04	-0.32	-0.25	0.24	-0.36	-0.42
Vigun10g099400	2.32	2.16	-0.25	0.07	-0.40	-1.37
Vigun02g129350	0.77	1.10	-0.25	-0.60	0.03	1.75
Vigun09g062900	-1.23	-1.53	-0.25	-1.02	-1.16	-0.05
Vigun04g150800	1.03	1.07	-0.25	-0.94	-1.49	-0.23
Vigun03g438300	0.27	0.14	-0.25	-0.40	-0.33	-0.23
Vigun01g102400	0.20	-0.11	-0.25	0.06	-0.23	-0.01
Vigun09g211600	-0.06	-0.20	-0.25	0.18	-0.05	-0.19
Vigun03g032700	-0.37	-0.58	-0.25	-1.35	-1.65	-0.20
Vigun10g050900	-2.17	-2.77	-0.25	-1.70	-2.73	-0.70
Vigun03g181900	0.27	0.00	-0.25	0.63	0.28	-0.30
Vigun11g166200	1.28	0.99	-0.25	-1.04	-1.76	-0.07
Vigun10g150400	-0.34	-0.50	-0.25	-2.29	-2.98	-0.33
Vigun09g058200	1.06	1.91	-0.25	-1.21	-0.75	-1.29
Vigun07g238500	2.35	2.42	-0.25	3.86	3.66	0.50
Vigun11g155600	-1.09	-1.50	-0.25	-1.66	-2.91	-0.48
Vigun03g164800	-0.84	-1.45	-0.25	-1.31	-1.75	-0.30
Vigun04g035800	0.70	0.71	-0.25	0.21	0.02	-0.28
Vigun07g078300	-0.89	-1.24	-0.25	-1.76	-2.55	-0.65
Vigun09g275500	-1.02	-1.40	-0.25	-1.64	-2.47	-0.62
Vigun04g135100	1.94	1.33	-0.25	0.44	0.62	-1.28
Vigun05g263300	0.74	0.57	-0.25	0.63	0.36	-0.01
Vigun03g129500	2.36	2.41	-0.25	2.96	2.86	-0.08
Vigun01g137700	6.18	6.84	-0.25	5.47	5.52	0.51
Vigun03g128900	-0.76	-1.36	-0.25	-1.25	-1.50	-0.30
Vigun07g285300	-0.05	-0.31	-0.25	-1.76	-1.97	-0.23
Vigun05g017400	0.08	-0.21	-0.25	0.67	0.42	-0.19
Vigun11g045200	6.12	5.72	-0.25	3.67	4.17	-0.12
Vigun10g010900	0.38	0.39	-0.25	0.52	-2.38	-0.59
Vigun11g188700	0.39	0.31	-0.25	0.62	-0.25	-0.40
Vigun06g016175	-0.09	-0.04	-0.25	0.11	0.14	0.11
Vigun01g210700	2.99	2.85	-0.25	0.45	-0.06	0.47
Vigun02g065200	0.77	0.66	-0.25	-0.75	-0.41	0.04
Vigun06g120800	-0.11	-0.29	-0.25	0.86	0.71	-0.27
VigunL075500	1.49	0.48	-0.25	-1.41	-0.66	1.44
Vigun08g218900	-0.61	-1.16	-0.25	-1.53	-2.41	-0.58
Vigun11g197000	0.44	0.30	-0.25	0.85	0.38	-0.25
Vigun10g080500	5.97	6.23	-0.25	6.06	6.29	0.32
Vigun03g213300	-0.48	-0.55	-0.25	0.32	0.01	-0.28
Vigun11g116100	0.13	0.05	-0.25	0.92	0.89	-0.10
Vigun03g277200	1.79	1.54	-0.25	1.43	1.45	0.03
Vigun03g226500	4.50	4.74	-0.25	1.23	1.81	0.55
Vigun11g210766	1.86	2.82	-0.25	3.50	4.49	1.10
Vigun03g389900	-0.25	-0.59	-0.25	-0.65	-0.84	0.03
Vigun07g073600	1.73	1.62	-0.25	-0.14	-0.98	-0.32
Vigun02g200000	-0.11	-0.14	-0.25	1.65	0.66	-0.81
Vigun09g036200	0.06	-0.01	-0.25	0.45	0.22	-0.37
Vigun05g139000	0.23	-0.01	-0.25	1.59	1.15	-0.40
Vigun05g070500	-0.27	-0.55	-0.25	-0.05	-0.59	-0.45
Vigun03g034200	1.45	1.50	-0.25	-0.34	-0.48	0.10
Vigun05g007900	-0.51	-0.85	-0.25	-0.68	-0.93	-0.16
Vigun03g372800	-0.25	-0.14	-0.25	-0.93	-0.80	0.08
Vigun10g097100	0.67	0.48	-0.25	0.01	-0.24	-0.35
Vigun06g061900	-0.18	-0.42	-0.25	-1.62	-1.90	-0.40
Vigun08g023500	0.44	0.24	-0.25	-1.31	-1.21	-0.17
Vigun05g293000	-0.05	-0.25	-0.25	0.82	0.24	-0.44
Vigun08g140800	2.31	2.10	-0.25	0.52	0.93	0.58
Vigun09g250000	-1.55	-1.96	-0.25	-1.58	-2.28	-0.60
Vigun04g110700	-0.67	-0.65	-0.25	0.33	0.14	0.12
Vigun05g296200	-0.03	-0.23	-0.25	1.33	1.25	-0.17
Vigun03g008900	5.72	5.17	-0.25	0.97	1.42	0.16
Vigun03g199050	-1.88	-2.13	-0.25	-1.72	-2.00	-0.33
Vigun09g160700	-0.63	-1.10	-0.25	-2.19	-3.52	-0.96
Vigun01g146000	-0.94	-1.34	-0.25	-2.03	-3.45	-0.46
Vigun10g189600	-0.10	-0.28	-0.25	-0.11	-0.47	-0.32
Vigun10g188100	-0.05	-0.38	-0.25	0.76	0.28	-0.37
Vigun04g081900	6.89	6.96	-0.25	3.60	3.98	0.48
Vigun08g146500	2.25	2.02	-0.25	-1.06	-1.67	-0.16
Vigun08g210600	0.44	0.32	-0.25	-0.45	-0.71	-0.15
Vigun08g184500	-0.37	-0.58	-0.25	-0.36	-0.47	-0.18
Vigun07g266300	-1.15	-1.44	-0.25	-1.25	-1.87	-0.42
Vigun05g189600	-0.24	-0.53	-0.25	-1.25	-1.86	-0.38
Vigun05g235300	3.68	4.08	-0.25	0.57	0.52	0.28
Vigun09g217000	2.60	2.67	-0.25	-1.30	-0.67	2.63
Vigun01g155100	-1.52	-1.78	-0.25	-1.58	-2.18	-0.50
Vigun10g144000	-1.62	-2.05	-0.25	-1.02	-2.62	-0.66
Vigun08g012800	-0.99	-1.25	-0.25	-2.67	-3.58	-0.18
Vigun03g015600	1.44	1.60	-0.25	0.38	0.81	1.20
Vigun03g299800	4.06	3.92	-0.25	1.88	1.90	0.02
Vigun04g096100	-0.35	-0.62	-0.25	-0.59	-0.85	-0.45
Vigun10g180800	0.04	-0.35	-0.25	-0.28	-0.68	-0.32
Vigun03g009500	0.26	-0.01	-0.25	1.09	0.53	-0.34
Vigun09g241200	4.41	4.24	-0.25	0.09	0.38	0.72
Vigun06g071500	0.17	-1.05	-0.25	0.42	-0.25	-0.24
Vigun05g000300	0.64	0.48	-0.25	-0.04	-0.60	-0.35
Vigun10g097200	0.37	0.28	-0.25	-1.17	-1.09	0.16
Vigun02g103600	-0.19	-0.30	-0.25	-0.46	-0.75	-0.14
Vigun06g237600	-0.34	-0.48	-0.25	-0.53	-0.93	-0.26
Vigun09g003900	5.86	5.60	-0.25	0.18	1.47	1.33
Vigun09g193600	2.79	3.06	-0.25	0.95	-0.66	0.73
Vigun02g138800	0.24	0.18	-0.25	0.01	0.66	1.48
Vigun05g243700	-0.27	-0.58	-0.25	-1.99	-2.48	-0.61
Vigun05g070700	-0.50	-0.69	-0.25	-1.26	-1.85	-0.21
Vigun02g056300	0.29	0.42	-0.25	0.63	1.01	0.31
Vigun05g195400	-0.38	-0.22	-0.25	-0.55	-0.09	0.17
Vigun03g109700	-0.05	-0.09	-0.25	0.17	-0.38	-0.25
Vigun11g189100	3.05	3.84	-0.25	-2.06	0.62	2.67
Vigun01g004700	-0.45	-0.64	-0.25	-0.77	-1.16	-0.36
Vigun07g123300	7.40	7.32	-0.25	4.65	4.27	0.10
Vigun08g148200	0.11	0.05	-0.25	-0.06	-0.30	-0.21
Vigun06g236900	-0.25	-0.44	-0.25	-0.56	-0.50	0.00
Vigun06g131900	0.10	-0.21	-0.25	0.25	-0.16	-0.34
Vigun07g259500	-0.84	-1.33	-0.25	-1.90	-3.10	-0.49
Vigun10g167600	-0.22	-0.34	-0.25	-1.40	-1.87	-0.33
Vigun09g041700	0.71	1.10	-0.25	2.68	3.15	-0.50
Vigun03g143700	1.22	1.20	-0.25	-0.54	-0.75	-0.40
Vigun11g030600	1.46	2.26	-0.25	-1.33	0.03	0.46
Vigun07g227300	0.18	0.03	-0.25	-1.49	-1.81	-0.36
Vigun01g029800	-0.35	-0.37	-0.25	-1.47	-2.02	-0.34
Vigun07g184800	6.07	5.91	-0.25	7.02	7.30	0.46
Vigun11g219500	-0.57	-0.94	-0.25	-0.63	-0.82	-0.10
Vigun06g121000	0.04	-0.16	-0.25	-0.63	-0.83	-0.22
Vigun02g064100	-0.31	-0.68	-0.25	-1.72	-2.33	-0.48
Vigun08g215800	-0.04	-0.46	-0.25	0.69	0.29	-0.34
Vigun07g127400	-0.13	-0.50	-0.25	0.13	-0.42	-0.54
Vigun04g098100	-0.03	-0.17	-0.25	-0.93	-1.17	-0.10
Vigun10g085200	2.30	1.97	-0.25	1.01	1.17	-0.34
Vigun09g266200	0.95	0.86	-0.25	-2.75	-3.00	-0.40
Vigun06g095200	0.51	0.33	-0.25	0.03	-0.17	-0.11
Vigun08g038600	-0.50	-0.81	-0.25	-0.03	-0.22	-0.18
Vigun09g174100	-1.35	-1.77	-0.25	-1.57	-2.27	-0.61
Vigun07g143700	-0.17	-0.43	-0.25	0.19	-0.27	-0.25
Vigun09g094150	0.07	0.36	-0.25	-2.76	-4.28	-1.69
Vigun04g014200	-0.48	-0.69	-0.25	-0.77	-1.37	-0.22
Vigun08g172600	-0.37	-0.77	-0.25	-0.28	-0.96	-0.64
Vigun07g048900	0.03	-0.19	-0.25	0.52	0.36	-0.16
Vigun10g020700	0.61	0.38	-0.25	0.10	-0.18	-0.18
Vigun05g216100	0.62	0.52	-0.25	1.38	0.98	-0.40
Vigun05g260700	-0.55	-1.04	-0.25	-0.26	-0.88	-0.53
Vigun04g152700	1.97	1.40	-0.25	0.11	-1.19	-0.57
Vigun05g250500	0.29	0.32	-0.25	-1.44	-1.83	-0.24
Vigun07g269300	0.86	1.38	-0.25	0.67	0.68	-0.30
Vigun11g179000	0.72	0.61	-0.25	0.27	0.11	-0.13
Vigun02g124200	-2.01	-2.51	-0.25	-2.34	-3.60	-0.89
Vigun11g039800	-0.65	-0.69	-0.25	-0.41	-0.50	-0.15
Vigun09g040600	8.58	8.27	-0.25	2.53	2.60	0.62
Vigun09g246500	2.04	1.99	-0.25	0.62	0.53	-0.61
Vigun05g228100	-0.18	-0.38	-0.25	-0.99	-1.52	-0.43
Vigun08g033500	-0.10	-0.07	-0.25	-1.19	-1.59	-0.16
Vigun09g088800	-0.49	-0.73	-0.25	0.11	-0.17	-0.39
Vigun10g140400	0.29	0.14	-0.25	0.11	-0.07	-0.16
Vigun03g208100	1.03	0.93	-0.25	-2.32	-2.66	-0.02
Vigun09g144700	0.32	0.08	-0.25	1.37	1.02	-0.34
Vigun05g168600	-0.46	-0.64	-0.25	-0.71	-1.58	-0.63
Vigun05g020600	0.38	0.19	-0.25	-0.38	-0.57	-0.16
Vigun05g299200	-0.13	-0.38	-0.25	0.15	-0.77	-0.74
Vigun09g129400	1.89	1.73	-0.25	0.51	0.40	0.08
Vigun04g011500	0.41	0.22	-0.25	-0.62	-0.86	-0.49
Vigun03g349400	-1.32	-0.22	-0.25	-2.10	-2.19	0.46
Vigun03g293000	-0.89	-1.24	-0.25	-1.11	-1.33	-0.25
Vigun09g128700	0.08	-0.19	-0.25	-0.99	-1.42	-0.29
Vigun09g259000	1.61	1.15	-0.25	-0.17	-1.03	-1.23
Vigun01g094900	-0.30	-0.38	-0.25	-0.97	-1.36	-0.27
Vigun06g026400	0.03	0.00	-0.25	0.83	0.90	0.00
Vigun02g187300	3.05	2.67	-0.25	0.12	0.03	1.53
Vigun07g282700	-0.65	-0.93	-0.25	-1.34	-1.53	-0.16
Vigun03g165200	-1.38	-1.83	-0.25	-1.99	-2.97	-0.62
Vigun09g238500	-0.67	-1.13	-0.25	-2.70	-5.07	-1.29
Vigun02g156500	-0.75	-1.10	-0.25	-2.61	-4.10	-1.17
Vigun02g021400	-0.26	-0.38	-0.25	0.60	0.54	-0.44
Vigun11g061400	-0.32	-0.54	-0.25	-0.31	-0.64	-0.19
Vigun10g108800	-0.51	-0.75	-0.25	-0.25	-0.24	-0.09
Vigun11g094500	1.27	1.37	-0.25	-0.74	-0.78	-0.29
Vigun02g079401	0.14	-0.13	-0.25	-0.72	-1.97	-0.59
Vigun01g177700	0.37	0.20	-0.25	0.36	0.16	-0.21
Vigun01g006600	1.78	1.97	-0.25	0.67	0.45	-0.36
Vigun01g057200	-0.96	-1.27	-0.25	-0.80	-1.01	-0.10
Vigun07g074000	-0.34	-0.72	-0.25	-0.96	-1.62	-0.42
Vigun09g019600	-2.14	-2.34	-0.25	-2.15	-3.00	-0.09
Vigun08g018900	-0.52	-1.00	-0.25	1.60	1.60	-0.01
Vigun01g007100	-0.38	-0.63	-0.25	-0.94	-1.54	-0.40
Vigun03g449100	0.26	0.11	-0.25	0.42	0.20	-0.16
Vigun08g157000	-1.42	-1.66	-0.25	-4.13	-5.86	-0.56
Vigun02g092400	-0.08	-0.38	-0.25	-0.76	-0.91	-0.40
Vigun09g072500	-0.35	-0.35	-0.25	-0.75	-0.81	-0.15
Vigun05g229800	0.41	0.09	-0.25	1.24	1.10	-0.09
Vigun08g204500	3.04	3.13	-0.25	0.20	0.11	0.14
Vigun06g212000	1.74	1.55	-0.25	-0.02	-0.55	-0.22
Vigun11g175400	0.38	0.42	-0.25	-0.43	-0.89	-0.29
Vigun04g011900	-0.11	-0.33	-0.25	-1.02	-1.21	-0.27
Vigun03g350400	-0.06	-0.26	-0.26	-0.54	-0.72	-0.25
Vigun05g105000	-0.53	-1.02	-0.26	-0.16	-0.28	-0.02
Vigun03g300300	0.13	-0.08	-0.26	-0.55	-0.69	-0.28
Vigun09g169700	0.24	0.06	-0.26	-0.39	-0.76	-0.39
Vigun03g212800	-0.18	-0.41	-0.26	-0.66	-1.11	-0.31
Vigun08g084500	0.97	0.54	-0.26	-0.12	-0.40	-0.07
Vigun05g112000	3.22	2.15	-0.26	3.77	3.98	0.20
Vigun06g025100	0.00	-0.11	-0.26	-0.07	-0.43	-0.34
Vigun03g076600	3.31	3.26	-0.26	2.43	2.85	0.29
Vigun11g069500	-1.12	-1.20	-0.26	-3.07	-4.78	-1.16
Vigun09g039100	-1.15	-1.40	-0.26	-1.84	-2.37	-0.34
Vigun01g207500	-0.13	-0.41	-0.26	-0.89	-1.24	-0.29
Vigun03g283100	-0.22	-0.42	-0.26	-1.26	-2.29	-0.63
Vigun11g129800	2.22	2.11	-0.26	0.22	-0.13	-0.39
Vigun06g210100	-0.15	-0.21	-0.26	-0.49	-0.24	0.23
Vigun07g273700	-2.86	-1.99	-0.26	1.29	0.13	-1.27
Vigun07g121000	-0.56	-0.65	-0.26	-0.75	-0.98	-0.36
Vigun06g178000	3.19	3.28	-0.26	0.68	0.30	-1.51
Vigun07g035100	-0.28	-0.86	-0.26	1.49	0.94	-0.45
Vigun03g076500	2.50	2.49	-0.26	1.54	1.57	0.38
Vigun07g009300	-0.59	-0.96	-0.26	-2.03	-3.00	-0.37
Vigun01g071501	0.69	0.50	-0.26	-0.24	-0.63	0.33
Vigun05g104500	-1.29	-1.17	-0.26	-2.17	-4.06	-0.18
Vigun06g068900	2.37	2.24	-0.26	1.82	2.07	-0.01
Vigun11g098600	6.48	6.33	-0.26	-0.02	-0.60	0.24
Vigun11g109100	0.37	0.22	-0.26	0.32	0.26	0.06
Vigun11g167700	0.33	-2.67	-0.26	-1.33	-0.44	-0.22
Vigun01g245100	0.03	-0.32	-0.26	-0.32	-0.77	-0.39
Vigun10g184300	0.07	0.09	-0.26	0.46	0.22	-0.07
Vigun08g175100	1.29	0.93	-0.26	0.69	0.10	-0.29
Vigun03g441100	-0.48	-0.76	-0.26	-1.28	-1.37	-0.34
Vigun06g109000	3.47	3.06	-0.26	0.62	1.83	-0.67
Vigun02g174600	1.81	1.69	-0.26	0.79	0.80	0.18
Vigun01g036300	-0.54	-0.74	-0.26	-0.63	-1.08	-0.46
