taxa	0.5h	1h	3h	5h	8h	24h
Nitab4.5_0000171g0190.1	-1.8	0	-0.3	-1.1	-0.7	-1.7
Nitab4.5_0000174g0040.1	1.6	1	0.2	-0.2	0.4	0.2
Nitab4.5_0000175g0070.1	1.5	0.6	-0.4	1	1.5	-0.3
Nitab4.5_0000175g0100.1	1	0.7	-0.4	0.1	0.2	-0.2
Nitab4.5_0000175g0120.1	-1.5	-0.9	-0.4	0	0.4	-1.1
Nitab4.5_0000175g0420.1	-1.5	-1.3	-1.1	-0.5	-0.6	0.7
Nitab4.5_0000178g0150.1	1.4	0.2	0.6	0.4	0.5	0.8
Nitab4.5_0000178g0330.1	1.1	0.4	0.2	0.2	0.1	-0.2
Nitab4.5_0000181g0050.1	1.2	0.6	0.1	0	0.5	0.4
Nitab4.5_0000182g0110.1	1.2	-0.2	0.6	-0.9	-0.6	0.4
Nitab4.5_0000183g0030.1	-1.1	-1.3	0.1	0.2	-0.4	1
Nitab4.5_0000183g0150.1	2.2	0.8	0.6	1	1	1.1
Nitab4.5_0000187g0090.1	-1.3	0.1	0.3	-1.1	-0.3	-0.6
Nitab4.5_0000187g0160.1	2.1	0.4	-0.3	0.1	0.1	-0.4
Nitab4.5_0000188g0210.1	1.1	1	0.1	-0.1	-0.1	0.3
Nitab4.5_0000191g0030.1	2.2	0.7	-0.1	0.1	-0.3	-0.1
Nitab4.5_0000192g0150.1	2.9	0.2	1	0.7	1.1	1.3
Nitab4.5_0000192g0200.1	2.2	3.1	-0.2	-1	0.7	1.9
Nitab4.5_0000194g0160.1	1.4	0.7	-0.3	-0.3	-0.4	-0.8
Nitab4.5_0000195g0240.1	-1.2	-0.4	-1.1	-2.2	-2.4	-1.5
Nitab4.5_0000196g0070.1	1.8	0.8	1.6	1	0.3	1.2
Nitab4.5_0000196g0110.1	1.7	1.2	1	0.7	0.5	0
Nitab4.5_0000201g0090.1	-1.5	-0.4	-0.1	0.3	-0.7	-1.1
Nitab4.5_0000201g0220.1	2	0.4	0.7	0.6	1.3	1.3
Nitab4.5_0000201g0250.1	-1.9	-1.3	-0.3	-0.8	-1.2	-1.1
Nitab4.5_0000201g0300.1	1.1	0.2	0.3	0.2	0.3	0.3
Nitab4.5_0000202g0460.1	1.9	0.9	-0.1	-1.1	-2	1.3
Nitab4.5_0000203g0030.1	1.2	0.8	0.2	0.6	-0.2	0.1
Nitab4.5_0000203g0040.1	-1	-0.1	0.1	0.2	-0.3	-0.2
Nitab4.5_0000203g0150.1	-1.1	-0.6	-0.6	-1.3	-1.2	-1.4
Nitab4.5_0000204g0120.1	1.2	-0.1	-0.2	-1	-0.2	0.5
Nitab4.5_0000207g0020.1	3.1	1.4	0.3	-0.9	-1.1	1.7
Nitab4.5_0000208g0180.1	1.3	0.6	0.2	-0.2	0.5	0
Nitab4.5_0000208g0310.1	1.4	0	0.3	0.2	0.2	0.6
Nitab4.5_0000208g0320.1	1.3	0.8	0.9	1.2	1	0.7
Nitab4.5_0000208g0350.1	3.4	2.6	0.6	1.4	0.5	0.3
Nitab4.5_0000209g0010.1	-1.2	0	0.5	0.3	-2	-0.1
Nitab4.5_0000209g0210.1	1.6	0	0.1	-0.1	0.7	0.5
Nitab4.5_0000209g0230.1	-1.1	-0.8	-0.2	-0.3	-1.4	-0.8
Nitab4.5_0000212g0250.1	1.7	0.7	0.1	-0.3	-0.3	0
Nitab4.5_0000213g0030.1	-1.1	-0.1	0.4	0.1	-1.1	0.1
Nitab4.5_0000213g0170.1	-2.3	-0.7	-0.7	-0.3	-0.8	-0.4
Nitab4.5_0000214g0020.1	2.2	2.3	0.4	-0.3	-0.5	-0.6
Nitab4.5_0000214g0080.1	-1.2	-0.3	0.1	0.4	0.2	-0.1
Nitab4.5_0000215g0010.1	-1.8	-0.6	-0.2	-1	-2.3	-1.4
Nitab4.5_0000217g0100.1	-1.4	-0.9	-0.3	-1.1	-1.1	0.2
Nitab4.5_0000219g0010.1	2.5	1.8	-1.1	0.1	-0.7	-0.8
Nitab4.5_0000221g0040.1	1.3	0.9	0	0.3	0.2	-1
Nitab4.5_0000222g0180.1	1.4	0.6	1.1	0.5	0	0.2
Nitab4.5_0000222g0200.1	1.1	0.8	0.1	-0.4	-0.2	0.8
Nitab4.5_0000222g0350.1	1	1.4	0.4	0.6	0.3	0
Nitab4.5_0000225g0010.1	2	1.6	-0.8	0.3	0	0.4
Nitab4.5_0000227g0050.1	-3.8	-1.3	0.2	-0.3	-0.3	0.5
Nitab4.5_0000227g0160.1	-1	-0.6	-1.2	-1.3	-1.4	-2.1
Nitab4.5_0000227g0180.1	-1.4	-0.8	0.1	0.3	-0.6	-0.2
Nitab4.5_0000231g0240.1	2.7	0.7	0.2	-0.4	0	1.1
Nitab4.5_0000231g0310.1	-1.6	-0.6	-0.2	0.2	-0.1	-0.7
Nitab4.5_0000232g0150.1	-1.8	-0.2	0.4	1.3	0.6	-0.4
Nitab4.5_0000232g0160.1	1.2	-0.3	0.3	-0.3	0.1	0
Nitab4.5_0000234g0100.1	1.9	-0.1	0.4	-0.4	-0.2	0
Nitab4.5_0000234g0210.1	1.6	0.9	0.2	-0.3	-0.7	0.8
Nitab4.5_0000235g0110.1	3.7	3.6	2.7	2	1.8	1.5
Nitab4.5_0000235g0130.1	-1.2	-0.2	-0.6	-1.5	-1	-0.4
Nitab4.5_0000236g0010.1	-1.9	-1.2	-0.1	-0.9	-1	1
Nitab4.5_0000240g0050.1	-2.1	-1	-0.6	-0.1	-2	-0.9
Nitab4.5_0000241g0220.1	1.8	-0.1	0.2	0	0.4	0.6
Nitab4.5_0000241g0260.1	1.2	0.7	0.1	0.5	0.1	0.3
Nitab4.5_0000244g0100.1	1.7	1	-0.4	0.3	-0.5	-0.1
Nitab4.5_0000244g0260.1	-1.5	-1.7	-0.4	-0.7	-1.5	-0.5
Nitab4.5_0000245g0010.1	-1	0.2	-0.8	0	0.1	-1.2
Nitab4.5_0000246g0060.1	1.4	0.4	0.3	0.1	0.1	0.9
Nitab4.5_0000246g0130.1	1.6	0.4	0.7	0.3	1.8	2.2
Nitab4.5_0000247g0020.1	1.6	0.3	0.4	0.4	-0.4	0.1
Nitab4.5_0000249g0080.1	-1.1	-0.4	-0.3	-0.2	-0.1	-0.1
Nitab4.5_0000252g0010.1	1.9	-0.2	0.3	0.4	0.9	0.6
Nitab4.5_0000252g0030.1	1.5	0.1	0.6	0.1	0.8	-0.2
Nitab4.5_0000252g0040.1	-1.4	-1.5	-0.3	-0.2	-0.7	-0.4
Nitab4.5_0000252g0160.1	1.1	-0.1	0.2	0.3	-0.2	0.7
Nitab4.5_0000252g0240.1	1.3	1.7	1.1	1.5	1.1	0.2
Nitab4.5_0000252g0270.1	-1.7	-0.9	-2	-1.9	-2.2	-2.3
Nitab4.5_0000254g0020.1	-1.8	-1.4	-0.6	-1.8	-1.2	-1.4
Nitab4.5_0000254g0050.1	-1.2	-0.6	-0.2	-0.6	-0.4	-2.5
Nitab4.5_0000255g0110.1	-3.3	-0.9	-0.3	-0.3	-2.6	-0.6
Nitab4.5_0000255g0150.1	1	1.1	0.6	0.8	1	-0.2
Nitab4.5_0000256g0160.1	-2.7	-0.4	2.5	0.9	-1.8	1
Nitab4.5_0000256g0170.1	-1.4	-1	-0.5	-0.6	-1.3	-0.3
Nitab4.5_0000256g0190.1	-3.7	-0.2	0.7	-0.8	-1.1	0.5
Nitab4.5_0000256g0270.1	-1.5	-0.5	-0.1	-0.4	-0.9	0.2
Nitab4.5_0000259g0180.1	1.1	0.6	0.3	0.4	0.3	0.6
Nitab4.5_0000261g0270.1	-1.4	-0.3	0.3	-1.2	-1	-0.4
Nitab4.5_0000263g0090.1	-13	-2.4	0.3	0.4	-2.4	-1.3
Nitab4.5_0000263g0190.1	1.2	0.4	1.1	0.3	0.4	0.2
Nitab4.5_0000263g0280.1	1	0.9	0.4	0.2	0.3	0.5
Nitab4.5_0000267g0090.1	-1.6	-0.5	-0.6	-0.3	0.1	-0.3
Nitab4.5_0000269g0160.1	1.4	0.8	0.9	0.4	0.6	0.8
Nitab4.5_0000269g0190.1	-1.2	-0.7	-0.7	-0.7	-1.8	-1
Nitab4.5_0000270g0120.1	1.3	0.4	0.6	-0.4	-0.6	0.3
Nitab4.5_0000272g0030.1	-2.3	-1.4	0.5	-0.9	-1.3	-0.2
Nitab4.5_0000273g0230.1	1.3	1	0.7	0.9	1	0.2
Nitab4.5_0000274g0090.1	2.2	1.4	2.1	1.1	0.7	1.6
Nitab4.5_0000274g0130.1	1.7	2.8	0.9	1.1	0	-0.5
Nitab4.5_0000274g0230.1	1.6	0.3	-0.4	0	0.6	0.5
Nitab4.5_0000274g0250.1	1.8	1.3	-0.4	-2.2	-3.1	1.4
Nitab4.5_0000278g0010.1	-5	-2.3	-4.1	-4	-4.9	-8.8
Nitab4.5_0000278g0030.1	-7	-2.5	-3.7	-3.2	-0.4	-6.2
Nitab4.5_0000278g0040.1	-2.8	-1	-2.7	-3.5	-4.1	-4.4
Nitab4.5_0000278g0160.1	-1	-0.8	-0.6	-0.6	-1	-0.6
Nitab4.5_0000278g0210.1	1.3	0.5	0.2	0.3	0.4	0.2
