taxa	flg22	elf18	nlp20	og	chitin
AT5G46295	5.97	6.43	5.41	5.38	3.87
AT1G33050	1.11	0.59	0.54	0.26	-0.06
AT1G80920	1.00	0.43	0.44	0.18	-0.08
AT3G51440	2.53	2.40	1.95	1.97	1.03
AT5G22120	1.01	0.51	0.44	0.41	0.36
AT5G11520	1.26	0.46	0.70	0.38	-0.09
AT5G45260	1.92	0.83	1.35	0.77	0.30
AT5G28770	0.85	0.27	0.22	0.29	-0.09
AT3G52360	0.89	0.32	0.06	0.33	0.22
AT2G30720	2.84	2.04	2.28	1.76	1.03
AT1G79770	0.59	0.53	0.03	-0.13	-0.52
AT4G26055	1.26	1.07	0.70	0.64	0.59
AT4G25710	1.00	0.26	0.43	0.20	0.16
AT5G37930	1.18	0.82	0.62	0.27	0.26
AT4G39675	1.04	0.44	0.47	0.47	0.06
AT5G32440	1.21	0.84	0.64	0.33	0.19
AT1G73080	2.89	2.84	2.32	2.26	1.75
AT4G25300	1.26	0.90	0.69	0.16	0.13
AT5G16080	1.62	1.27	1.06	0.45	0.33
AT4G02410	3.93	3.88	3.36	3.31	3.35
AT1G78380	1.04	0.11	0.40	0.47	0.20
AT1G77770	1.28	0.62	0.71	0.56	0.34
AT1G12420	1.98	1.69	1.41	0.39	0.38
AT1G66880	3.38	3.00	2.81	2.07	1.85
AT5G13590	1.26	0.72	0.50	0.69	0.20
AT4G29050	3.38	3.30	2.81	2.31	1.86
AT3G14720	1.09	0.82	0.52	0.19	0.41
AT1G24350	1.38	0.59	0.81	0.41	0.13
AT2G01650	2.18	1.82	1.61	1.26	0.89
AT4G23470	2.30	2.00	1.73	1.47	1.02
AT1G02460	1.36	0.90	0.79	0.50	0.61
AT3G54110	1.30	0.46	0.73	0.43	0.25
AT5G52670	4.26	1.75	2.47	3.69	1.92
AT3G09400	1.89	0.71	1.32	0.65	0.72
AT3G44100	0.92	0.53	0.13	0.35	0.12
AT1G21540	0.76	0.51	0.19	0.06	-0.10
AT5G35200	2.43	1.84	1.86	0.95	0.39
AT2G33700	1.57	0.98	1.00	0.36	0.42
AT5G38750	1.28	0.40	0.71	-0.07	0.34
AT5G18020	0.71	-0.33	-0.12	-0.14	0.14
AT3G06330	2.12	1.82	1.48	1.55	0.29
AT1G20630	0.80	0.14	0.23	-0.03	-0.10
AT1G68000	1.47	0.78	0.90	0.22	0.18
AT4G12270	1.16	0.37	0.58	0.59	0.02
AT5G11250	2.16	2.12	1.55	1.49	1.58
AT1G03905	3.27	2.43	2.70	2.18	1.24
AT1G71770	1.73	1.00	1.16	0.80	0.55
AT5G67640	1.85	1.76	0.44	1.28	0.65
AT5G03415	1.40	0.77	0.83	0.30	0.04
AT4G27740	1.53	1.44	0.39	0.96	0.72
AT4G00550	1.66	1.39	1.09	0.99	0.52
AT3G05350	1.04	0.45	0.47	0.31	0.11
AT3G48630	4.97	5.30	4.40	4.31	2.53
